#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
219	4	1	載せる	noseru	place, put on	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
220	4	1	悲しい	kanashii	sad	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
223	4	2	甘い	amai	sweet	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5
225	4	2	食べ物	tabemono	food (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
226	4	2	始まる	hajimaru	begin	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
229	4	2	天気	tenki	weather	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
230	4	2	暑い	atsui	hot (of weather)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
231	4	3	太い	futoi	thick, fat	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
232	4	3	晩	ban	evening, night (from sunset to bedtime)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
233	4	3	土曜日	doyoubi	Saturday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
234	4	3	痛い	itai	sore, painful	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
236	4	3	多分	tabun	probably, perhaps	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
237	4	3	時計	tokei	clock, watch	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
238	4	3	泊まる	tomaru	stay overnight	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
240	4	3	掛ける	kakeru	hang, put on	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
241	4	4	曲がる	magaru	make a turn, turn	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
242	4	4	お腹	onaka	stomach, belly	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
244	4	4	嫌い	kirai	dislike (habitual)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
245	4	4	金曜日	kinyoubi	Friday	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
246	4	4	要る	iru	need, require	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
247	4	4	無い	nai	to not be	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
248	4	4	風邪	kaze	cold (illness)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
249	4	4	黄色い	kiiroi	yellow	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
